ID,Area,Winning Point,Victory Times,Victory,Defeat Times,Defeat,Win Rate,Performance,Prefer Location,Prefer Hero 1,Prefer Hero 2,Prefer Hero 3
t d,America,611,0,victory,0,defeat,100.00%,S,Sup,Annie,Janna,Taric
sWeixin VinLeous,America,610,159,victory,93,defeat,63.10%,S-,Top,Xayah,Vayne,Taric
Strompest,America,607,314,victory,271,defeat,53.70%,B+,Jungle,Lee Sin,Sejuani,Nidalee
Nv Pirean,America,607,87,victory,71,defeat,55.10%,A-,ADC,Jinx,Xayah,Kai'Sa
Vincente,America,606,401,victory,351,defeat,53.30%,S-,ADC,Kai'Sa,Xayah,Caitlyn
midlåner,America,606,240,victory,182,defeat,56.90%,A+,Sup,Thresh,Soraka,Alistar
Phaxen,America,605,389,victory,281,defeat,58.10%,S,ADC,Kai'Sa,Xayah,XinZhao
19950307,America,605,0,victory,0,defeat,100.00%,S,Top,Riven,Soraka,Jax
Winter,America,600,479,victory,461,defeat,51.00%,S-,Mid,TwistedFate,Ryze,Kassdin
C9 Smoothie,America,599,72,victory,35,defeat,67.30%,A+,Top,Renekton,Riven,Alistar
Pekin Woof,America,594,202,victory,156,defeat,56.40%,A+,Sup,Tristana,Rakan,Xayah
Waterboy Vulcan,America,594,421,victory,384,defeat,51.80%,A+,Jungle,Kindred,Zyra,Janna
Soligo,America,593,597,victory,571,defeat,51.20%,S,Mid,Sol,Galio,Zoe
dun is washed up,America,592,240,victory,216,defeat,50.30%,A,ADC,Vayne,Ezreal,Xayah
Value,America,591,213,victory,177,defeat,54.60%,S-,Top,Annie,Jarvan IV,Kassdin
Immortal Emperor,America,589,429,victory,367,defeat,53.90%,A+,Mid,Galio,Zoe,Ryze
enaek,America,587,596,victory,544,defeat,52.30%,B+,Sup,Blitzcrank,Thresh,Braum
Bobjenkins,America,583,159,victory,111,defeat,58.90%,B+,Top,Jax,Fiora,Jarvan IV
goldenglue,America,581,625,victory,533,defeat,54.00%,A+,ADC,Kai'Sa,Caitlyn,Xayah
Spectrum,America,578,0,victory,0,defeat,100.00%,S,Top,Ashe,Ryze,Akali
MikeYeunglol,America,578,220,victory,196,defeat,52.90%,A-,Sup,Kennen,Janna,Thresh
DopaSenKer,America,576,1071,victory,1015,defeat,51.30%,S-,Mid,LeBlanc,Ekko,Jarvan IV
adrianma1,America,574,291,victory,250,defeat,53.80%,A+,Mid,Karthus,Ezreal,XinZhao
P1 Shady,America,570,364,victory,289,defeat,55.70%,S+,Sup,Kog'Maw,Janna,Alistar
BukZacH,America,569,417,victory,399,defeat,51.10%,B,Jungle,Xayah,Caitlyn,Kai'Sa
dàwolfsclaw,America,569,0,victory,0,defeat,100.00%,A,Mid,Ekko,Rek'Sai,Ryze
VXIN Wedabest,America,566,0,victory,0,defeat,100.00%,S,Top,Talon,Veigar,Ekko
CHIEF KEITH,America,564,86,victory,79,defeat,47.50%,D,Sup,Janna,Soraka,Lulu
GCU Rikara,America,563,159,victory,140,defeat,53.20%,A-,Top,Singed,Janna,Swain
Liquid Lourlo,America,562,178,victory,137,defeat,56.50%,S,ADC,Xayah,Ezreal,Vayne
Allorim,America,562,38,victory,33,defeat,53.50%,A,ADC,Ryze,Vladimir,Fiora
AchiIIes Heal,America,557,222,victory,196,defeat,53.10%,A+,Top,Jax,Fiora,Jayce
Chimonaa1,America,556,318,victory,286,defeat,52.60%,A-,Jungle,Jarvan IV,Jhin,Ezreal
win out ,America,554,440,victory,395,defeat,52.70%,B+,Mid,Annie,Malphite,TwistedFate
AltecJohnnyYQX,America,554,0,victory,0,defeat,100.00%,S,Top,Ekko,Katarina,Lee Sin
TG Strompest,America,552,86,victory,56,defeat,60.60%,A+,Top,Rek'Sai,Graves,Xayah
joong ki song,America,552,180,victory,141,defeat,56.10%,S,Mid,Ryze,TwistedFate,Galio
RF Legendaddy,America,551,0,victory,0,defeat,100.00%,S,Jungle,Evelynn,Elise,Ziggs
Thien Chau1,America,550,944,victory,884,defeat,51.60%,D,Mid,Fizz,Zoe,Kassdin
Paid By Steve,America,550,161,victory,124,defeat,52.00%,S,ADC,Vayne,Janna,Twitch
Manifest,America,549,22,victory,4,defeat,84.60%,A-,Jungle,Kindred,Shyvana,Kha'Zix
Cotosaurio,America,548,139,victory,95,defeat,58.90%,A,Sup,Tryndamere,Malphite,Blitzcrank
you clouds rain,America,545,135,victory,117,defeat,53.60%,S,ADC,Kai'Sa,Xayah,Caitlyn
Hakuho,America,545,830,victory,773,defeat,51.80%,S-,Sup,Janna,Soraka,Lulu
MikeYeung,America,545,313,victory,234,defeat,57.20%,A+,Mid,TwistedFate,Corki,Kassdin
Anivia Kid,America,543,167,victory,128,defeat,56.60%,A-,Top,Camille,Renekton,Fiora
WildTurtle,America,542,230,victory,187,defeat,55.20%,A+,ADC,Kai'Sa,Xayah,Varus
MIST,America,540,110,victory,55,defeat,66.70%,A-,ADC,Xayah,Kai'Sa,Fiora
Jayms,America,539,436,victory,368,defeat,54.20%,S-,Jungle,Camille,Olaf,Lee Sin
Biofrost,America,536,863,victory,772,defeat,52.80%,A+,Top,Vladimir,Camille,Irelia
CLyde1,America,535,150,victory,126,defeat,54.30%,A,ADC,Kai'Sa,Caitlyn,Varus
Wørld Peace,America,531,216,victory,178,defeat,54.80%,S,Sup,Janna,Lulu,Soraka
Eitori,America,530,0,victory,0,defeat,100.00%,S,ADC,TwistedFate,Jax,Zed
W0WFIXZ,America,530,0,victory,0,defeat,100.00%,S,ADC,Katarina,Leona,Kha'Zix
deftIy,America,524,439,victory,394,defeat,52.70%,A,Top,Irelia,Nocturne,Camille
Hobbler,America,524,0,victory,0,defeat,100.00%,S,ADC,Veigar,Ashe,Ryze
Rohammers,America,523,79,victory,31,defeat,71.80%,S-,Jungle,Tahm,Kog'Maw,Teemo
Pransie,America,523,184,victory,151,defeat,54.90%,A+,Sup,Evelynn,Jarvan IV,Nunu
Suzy the cutie,America,521,341,victory,300,defeat,53.20%,S-,Sup,Gangplank,Lissandra,Jayce
insanity,America,520,233,victory,194,defeat,54.60%,A,Top,Aatrox,Camille,Rengar
Doublelift,America,520,0,victory,0,defeat,100.00%,S,Top,Xerath,Lulu,Kennen
Berta Lovejoy,America,520,204,victory,168,defeat,54.80%,B+,ADC,Xayah,Camille,Ezreal
Yassuo,America,519,0,victory,0,defeat,100.00%,S,Sup,Janna,Rakan,Soraka
god tupo,America,519,137,victory,107,defeat,56.10%,A,Mid,Cassiopeia,Orianna,Azir
Kurumz,America,519,0,victory,0,defeat,100.00%,S,Mid,Sona,Zilean,Ryze
Cris,America,519,172,victory,128,defeat,57.30%,D,Top,Tahm,Thresh,Camille
yeedam ,America,517,247,victory,210,defeat,54.00%,S-,Top,Jax,Kled,Vladimir
chowdog,America,514,0,victory,0,defeat,100.00%,S,Mid,Jax,TwistedFate,Fizz
Autolycus1,America,514,308,victory,267,defeat,53.60%,S,Sup,Janna,Bard,Nami
Johnsun,America,514,218,victory,191,defeat,53.30%,A-,Jungle,Lee Sin,Jarvan IV,Pantheon
i need some suga,America,513,22,victory,26,defeat,45.80%,S+,ADC,MissFortune,Kog'Maw,Kai'Sa
xxxwlxxxwlxxxwl,America,512,222,victory,200,defeat,52.60%,A,Jungle,Shaco,Ezreal,Ivern
Vincent,America,512,0,victory,0,defeat,100.00%,S,Mid,Gangplank,Fiora,Karthus
OneseIf,America,511,120,victory,102,defeat,54.10%,A+,Top,Camille,Darius,Kha'Zix
Liquid Ezra,America,511,0,victory,0,defeat,100.00%,S,Top,Ryze,Nidalee,Karthus
Jòéy,America,511,417,victory,340,defeat,55.10%,A-,Mid,Irelia,Ekko,Zoe
Qissaruj,America,510,0,victory,0,defeat,100.00%,S,ADC,Thresh,Gangplank,TwistedFate
Jk bups,America,508,144,victory,111,defeat,56.50%,S,Mid,Talon,Zoe,Lee Sin
Turkish Coffee,America,506,579,victory,551,defeat,51.20%,S-,ADC,Xayah,Ezreal,Vayne
League,America,504,0,victory,0,defeat,100.00%,S,Top,Braum,Zac,Tahm
Heisendong,America,504,125,victory,61,defeat,67.20%,A+,Mid,Kalista,Pantheon,Vayne
Morïarty,America,500,268,victory,226,defeat,54.30%,B+,Sup,Thresh,Tahm,Alistar
Archhangel,America,499,0,victory,0,defeat,100.00%,S,Top,Camille,Rek'Sai,Ryze
Wazabiee,America,498,194,victory,155,defeat,55.60%,S,Sup,Janna,Soraka,Lulu
xiaohai,America,497,200,victory,168,defeat,54.30%,S,Jungle,Kha'Zix,Lee Sin,Rengar
Søren Bjerg,America,497,0,victory,0,defeat,100.00%,S,ADC,Ryze,Janna,Jinx
Zerrsog,America,495,388,victory,350,defeat,52.60%,B+,Mid,TwistedFate,Varus,Syndra
Adrian Ma,America,494,215,victory,180,defeat,54.40%,S-,Mid,Karthus,Ekko,Ezreal
ponitoro,America,493,104,victory,87,defeat,54.50%,B+,Sup,Thresh,Lulu,Alistar
HazardFP,America,491,370,victory,375,defeat,48.90%,S,ADC,Jhin,Karthus,Kai'Sa
fat burger,America,491,418,victory,368,defeat,53.20%,A+,Jungle,Graves,Xayah,Camille
Boyfriend,America,486,722,victory,681,defeat,51.50%,D,Jungle,Rek'Sai,Evelynn,Nidalee
IIllIlIlIlllIllI,America,486,189,victory,154,defeat,55.10%,A+,ADC,Ezreal,Riven,Jayce
Gaow Gaiy,America,486,0,victory,0,defeat,100.00%,S,ADC,Xayah,Kai'Sa,Varus
Chaser,America,484,48,victory,44,defeat,52.20%,A,Jungle,Talon,Camille,Jarvan IV
Feather Daddy,America,482,0,victory,0,defeat,100.00%,S,Top,Gangplank,Annie,Garen
CaillouX,America,482,189,victory,152,defeat,55.40%,B+,Mid,Zed,Jarvan IV,Yasuo
5word,America,478,351,victory,271,defeat,56.40%,A,Top,Camille,Aatrox,Jax
Scrandor,America,478,0,victory,0,defeat,100.00%,S,Top,Rumble,Urgot,Kalista
Piggy Kitten,America,478,181,victory,92,defeat,66.30%,S,ADC,Camille,Caitlyn,Xayah
Hungry Like,America,478,126,victory,87,defeat,59.20%,A-,Mid,Riven,Zed,Yasuo
DJNDREE5,America,477,1642,victory,1591,defeat,50.80%,S-,Top,Poppy,Anivia,Nautilus
Liquid Pain,America,477,0,victory,0,defeat,100.00%,S,ADC,Janna,Caitlyn,Kha'Zix
Hopelesz,America,477,0,victory,0,defeat,100.00%,S,Sup,Singed,Janna,Soraka
GCU MadLife,America,476,284,victory,234,defeat,54.80%,A+,Mid,Ezreal,Kalista,Varus
The Tank Man,America,476,0,victory,0,defeat,100.00%,S,Top,Fiora,Camille,Irelia
GiftedByGods,America,476,345,victory,317,defeat,52.10%,S-,Mid,Ryze,Sol,Vladimir
TdollasAKATmoney,America,475,0,victory,0,defeat,100.00%,S,Sup,Camille,Kayn,Thresh
FOX Brandini,America,474,0,victory,0,defeat,100.00%,S,Jungle,Lee Sin,Camille,Jarvan IV
Karasmai is back,America,474,324,victory,267,defeat,54.80%,B+,Jungle,Nidalee,Rek'Sai,Camille
